receiver_upi_id,amount,amount_ratio,transaction_frequency,device_mismatch_flag,geo_location_flag,account_age,recipient_blacklist_status,past_fraud_flag,high_risk_time_flag,sender_trust_score,receiver_trust_score,merchant_category_encoded,transaction_type_encoded,fraud_reports,fraud_label
manju@okhdfc,273,0.1,10,0,0,155,0,0,0,1,5,0,2,0,0.0
9379965075@pnb,26122,47.15,5,1,1,268,0,0,1,5,5,3,3,28,0.5
satish@canara,2477,2.09,5,1,0,306,0,1,1,5,1,4,1,60,0.5
sachin25@waicici,3209,2.21,8,0,1,189,0,0,1,5,5,2,3,18,0.0
ankit47@kotak,152,0.06,9,0,0,302,0,0,1,5,3,0,1,8,0.0
sonia831@icici,59,0.02,6,1,0,226,0,0,1,2,1,2,3,39,0.5
aakash@pnb,157,0.15,8,0,0,195,0,1,0,4,3,4,3,34,0.5
9936183242@icici,2816,2.19,8,0,0,305,0,0,1,3,1,1,2,33,0.5
meera96@mahb,44192,29.07,5,0,0,240,0,1,1,4,3,4,3,43,0.5
9256746807@icici,326,0.21,8,0,1,334,0,0,0,3,2,4,3,16,0.0
ankit44@kotak,2036,0.91,9,1,1,207,1,1,0,1,5,3,3,90,1.0
9274846773@paytm,64725,97.48,10,1,1,323,0,1,0,2,2,2,0,50,1.0
rani52@waicici,88005,39.91,7,0,1,142,1,0,0,3,5,2,0,44,1.0
ravi74@ybl,75302,26.24,10,1,1,123,1,1,0,4,2,3,0,80,1.0
sunil72@hdfc,47587,16.07,7,0,1,74,0,0,1,2,1,3,2,35,1.0
rohit251@mahb,8014,5.72,2,0,0,223,0,1,0,1,4,1,2,23,0.0
9748217594@okhdfc,4277,1.46,10,0,0,196,0,0,0,2,4,4,1,0,0.0
ganesh97@hdfc,51437,17.76,2,1,1,248,1,1,0,2,4,4,2,84,1.0
9562328588@iob,159,0.22,10,1,1,98,0,0,1,3,2,0,0,28,0.5
sunita57@iob,441,0.24,2,0,1,174,0,1,1,4,1,1,1,38,0.5
9471138267@oksbi,4303,5.57,9,1,1,318,0,0,0,3,5,1,0,11,0.5
9506431713@sbi,228,0.13,7,1,0,316,1,1,0,3,1,2,1,85,1.0
rohit134@pnb,26532,10.05,2,0,1,106,0,0,0,5,2,4,1,6,0.5
vinod@paytm,27,0.06,10,0,0,122,0,0,0,3,1,1,2,13,0.0
shakti84@ybl,252,0.31,1,0,0,16,0,1,1,4,4,3,0,24,0.0
9565452711@icici,32119,17.52,2,1,1,360,0,1,1,5,2,3,3,59,1.0
naveen615@axisbank,31922,16.52,1,0,1,285,0,0,1,5,5,4,2,33,0.5
aakash850@sbi,4015,1.42,9,0,0,180,1,1,0,3,1,2,1,75,1.0
vikas49@ybl,751,0.43,3,0,1,93,0,1,1,5,4,0,1,45,0.5
rajesh96@mahb,311,0.14,2,0,0,26,0,0,0,3,4,3,3,0,0.0
9226838851@okicici,393,1.7,1,1,1,307,0,0,0,1,2,2,1,31,0.5
9751613696@apl,51366,56.88,10,0,1,161,1,0,1,4,5,3,3,75,1.0
rohit@kotak,97669,34.35,2,0,1,87,0,1,1,5,1,4,1,42,1.0
neha@canara,4102,2.85,8,0,0,297,0,1,1,5,5,2,2,45,0.5
sonia981@axisbank,836,0.55,2,1,1,147,0,0,0,1,5,4,3,29,0.0
9515186449@kotak,3554,2.24,8,1,0,225,0,0,0,5,5,4,1,21,0.0
9816850542@bob,47171,16.02,7,1,0,336,0,0,1,2,5,0,2,32,1.0
nikhil@paytm,3258,3.92,2,1,1,80,1,0,0,3,1,4,0,63,1.0
naveen58@apl,4342,1.71,5,0,1,313,1,1,0,4,2,4,1,80,1.0
9137506068@oksbi,1187,0.52,8,1,0,27,1,0,0,3,5,0,0,44,0.5
suresh@kotak,4370,2.15,2,0,1,164,0,0,1,3,2,1,0,35,0.5
rohit@oksbi,57,0.02,4,1,0,25,0,1,0,4,5,3,0,38,0.5
9515319520@oksbi,200,0.12,2,0,1,185,0,0,0,5,5,4,0,8,0.0
9874034505@iob,70682,30.59,2,1,0,70,0,1,1,4,1,2,1,50,1.0
9284511544@paytm,4753,9.09,6,0,1,198,0,1,1,2,4,3,2,45,1.0
9297021355@okicici,28809,9.66,10,1,0,181,0,1,1,4,3,0,0,39,1.0
preeti121@paytm,161,0.17,10,0,0,40,0,1,1,2,5,2,3,35,0.5
9258313237@sbi,3346,2.34,8,0,1,38,0,1,0,2,4,0,2,27,0.0
sudha697@kotak,394,0.26,2,1,1,45,0,1,0,3,4,3,3,52,0.5
mahesh26@canara,27676,52.92,3,0,0,266,1,1,0,3,2,1,2,64,1.0
9784473647@icici,47672,25.01,6,0,0,310,0,0,0,5,1,0,0,17,0.0
harish478@paytm,31130,13.48,6,0,0,105,0,1,1,5,2,2,2,43,1.0
pallavi@okicici,3061,1.33,10,0,0,197,0,0,0,4,2,1,2,10,0.0
pooja16@waicici,33241,19.58,8,1,0,145,0,0,1,5,4,2,0,36,1.0
9239868000@kotak,30814,19.4,9,0,1,231,0,1,0,3,5,4,0,37,1.0
ganesh@oksbi,2951,1.29,3,1,1,264,0,1,0,3,5,2,1,47,0.5
9623091307@ybl,370,0.13,1,1,0,353,0,1,1,5,4,2,1,55,0.5
ramesh351@iob,3162,2.13,8,1,0,314,0,1,0,1,2,4,1,31,0.5
9665240415@paytm,246,0.35,5,1,0,116,0,0,1,3,2,3,2,34,0.5
sanjay@kotak,125,0.11,9,1,1,139,1,0,0,3,2,0,1,57,1.0
nitin957@upi,2402,6.82,5,0,0,103,0,1,1,3,3,0,0,29,0.5
vivek42@pnb,456,0.69,2,0,1,309,0,0,0,3,3,3,3,14,0.0
harish458@canara,1281,1.05,7,0,1,328,0,1,0,4,5,2,0,20,0.0
9727956878@bob,354,0.32,8,0,1,61,0,1,0,3,2,3,2,33,0.5
ajay735@icici,294,0.13,2,0,0,289,0,1,1,1,5,4,1,34,0.5
mukesh@waicici,30948,28.34,10,1,0,234,0,1,0,1,5,3,2,38,1.0
ashok32@okicici,3592,1.23,3,0,0,93,0,1,0,4,3,3,3,31,0.0
9690331190@paytm,127,0.19,9,0,0,238,1,0,0,4,5,3,1,31,0.5
rohit@okhdfc,42845,28.32,4,0,0,277,0,0,1,1,2,4,2,13,0.5
ramesh@canara,4796,5.91,9,1,1,219,0,0,0,4,1,2,3,27,0.5
sachin53@hdfc,55181,32.1,9,0,1,286,1,0,1,2,4,1,2,54,1.0
9854678544@oksbi,4423,4.27,5,0,0,171,0,0,1,1,2,1,0,18,0.5
9423536937@waicici,289,0.11,4,1,1,164,0,0,1,3,3,3,0,42,0.5
rahul27@ubi,4941,9.8,3,1,1,181,0,1,1,2,5,3,1,61,1.0
9840862118@kotak,554,2.07,1,0,0,192,0,0,0,5,5,3,3,6,0.0
9016668700@pnb,24659,46.53,2,0,0,204,0,1,1,3,4,3,1,42,0.5
9250392614@pnb,94854,39.13,9,0,1,49,0,1,1,1,2,1,3,54,1.0
mamta31@paytm,2401,0.88,2,0,1,72,0,1,1,5,3,0,0,53,0.5
9265511047@oksbi,409,0.23,10,1,0,349,0,1,1,4,1,4,2,60,1.0
bharti13@okicici,14,0.01,9,1,0,230,0,0,0,5,5,3,0,25,0.0
seema739@bob,86,0.17,5,0,0,138,0,0,1,3,4,1,0,13,0.0
9375265479@ubi,172,0.11,6,1,0,203,0,0,1,5,4,2,3,31,0.5
9724342661@paytm,18739,38.8,4,1,1,289,0,1,1,5,5,1,0,65,1.0
9656101438@apl,3408,1.36,9,1,1,185,0,1,0,5,1,0,1,58,1.0
9254573875@upi,77261,140.22,10,0,1,348,0,1,1,5,2,2,0,39,1.0
sudha61@pnb,2498,1.61,2,0,1,23,0,1,1,1,3,0,1,51,0.5
ramesh192@bob,18486,40.54,8,0,1,102,0,1,0,5,4,3,0,40,1.0
9499125134@axisbank,27801,10.19,6,1,0,328,0,1,1,5,4,4,3,37,1.0
sunil67@hdfc,4902,2.22,10,0,1,71,0,0,1,4,4,1,3,21,0.0
9404384279@upi,213,0.65,9,1,0,197,0,1,0,5,4,3,3,47,0.5
sunita@mahb,2527,1.55,8,0,0,22,0,1,1,5,2,3,0,28,0.5
9812604223@kotak,71210,50.94,1,1,1,106,0,0,0,5,3,4,2,23,0.5
9590175186@bob,1262,0.74,5,1,0,324,0,1,1,4,4,3,0,46,0.5
9701277063@kotak,404,0.67,6,1,0,146,0,1,1,5,5,1,3,50,0.5
kavita@apl,3002,5.1,2,1,0,129,0,1,0,3,2,0,3,26,0.5
asha@icici,46,0.03,3,1,0,217,0,0,1,4,1,1,3,22,0.0
9523413899@canara,45,0.03,3,0,0,322,0,1,1,4,5,3,1,31,0.5
9269658271@sbi,124,0.5,1,0,1,152,0,0,0,2,4,3,0,13,0.0
pallavi@kotak,3795,1.39,7,0,0,31,0,1,0,5,3,4,3,18,0.0
asha@upi,950,1.03,1,1,1,123,0,0,1,2,1,3,0,31,0.5
sarita369@mahb,96682,34.9,2,1,1,138,0,0,1,1,3,3,2,26,0.5
ravi567@ubi,600,0.34,2,0,1,294,0,0,1,2,5,0,0,14,0.0
9451870534@mahb,53009,109.98,10,1,0,40,0,1,1,3,1,4,0,52,1.0
9506413836@upi,3859,1.38,4,1,0,253,0,1,1,5,2,1,0,58,0.5
9062344565@ybl,1282,0.71,9,0,0,119,0,1,0,4,3,3,0,16,0.0
pallavi@icici,231,0.14,10,1,1,70,1,0,0,1,2,0,1,80,1.0
9788317121@sbi,263,0.29,3,0,1,168,1,0,0,1,2,2,3,46,0.5
9510702966@upi,1028,1.41,2,0,0,191,1,0,0,5,5,2,0,32,0.5
anita393@bob,2513,1.02,5,0,1,96,0,1,0,3,4,1,0,37,0.5
9078593213@ubi,1973,6.17,6,0,0,249,0,1,1,5,5,2,3,45,0.5
9784270103@ubi,731,0.29,3,1,0,89,0,0,1,2,5,2,2,16,0.0
9156915452@pnb,96182,147.07,3,0,1,104,1,0,1,3,2,2,0,72,1.0
9690295939@axisbank,194,0.94,10,1,1,288,0,1,0,3,2,4,1,58,1.0
rahul50@okhdfc,136,0.11,3,1,0,164,0,1,0,1,3,3,0,49,0.5
rekha@icici,232,0.18,2,0,1,193,0,1,1,4,5,1,1,33,0.5
9844431069@waicici,3212,1.3,3,0,1,335,0,1,0,5,4,1,0,45,0.5
9467741862@oksbi,14,0.03,5,1,0,45,0,0,1,5,4,1,0,27,0.0
9938068687@mahb,78,0.03,8,1,1,226,0,0,1,3,2,2,0,39,1.0
suresh@kotak,60955,61.63,9,0,1,18,0,1,0,5,5,4,1,24,0.5
rohit85@axisbank,601,0.31,9,1,1,204,0,0,0,3,3,4,3,17,0.0
9065307450@ybl,20,0.01,7,0,0,136,1,1,1,4,5,4,3,81,1.0
nisha62@upi,3128,1.1,2,1,1,351,1,1,1,2,2,2,3,88,1.0
9345786103@oksbi,89,0.04,7,1,0,260,0,0,0,2,5,4,0,1,0.0
9346800722@sbi,8253,7.66,6,1,1,180,0,0,1,2,3,0,2,31,1.0
9589944171@ybl,4765,20.72,6,0,1,193,0,1,1,4,3,1,3,50,1.0
9744666099@bob,965,0.32,5,1,1,334,0,1,1,2,2,4,1,50,1.0
9353465549@canara,99998,33.51,9,1,0,88,0,1,1,2,3,0,3,44,1.0
9223569725@pnb,1481,0.78,10,1,0,299,1,1,0,5,1,3,1,69,1.0
mukesh989@sbi,296,0.15,1,0,1,30,0,1,0,4,3,1,1,44,0.5
vijay844@canara,356,0.16,4,0,0,272,1,1,0,1,1,1,1,76,1.0
vinod@okicici,2337,0.89,6,1,1,251,0,1,0,2,2,3,0,52,0.5
9046184992@okhdfc,4983,4.79,1,1,0,11,0,0,0,1,4,3,3,24,0.0
9753001197@kotak,184,0.08,4,0,0,255,0,1,0,5,2,2,1,22,0.0
rajesh@kotak,417,0.14,5,0,0,234,0,0,1,3,4,0,0,12,0.0
rekha26@hdfc,34919,16.18,2,0,1,138,1,1,1,3,3,1,0,99,1.0
9167014508@mahb,97662,132.87,8,0,0,348,0,1,1,2,5,3,2,35,1.0
9535408386@okicici,38132,43.48,8,0,1,128,0,0,1,3,4,1,0,14,0.5
meera87@canara,645,0.26,2,0,0,230,0,1,1,4,4,2,0,39,0.5
savita850@waicici,367,0.13,8,0,1,115,1,1,1,3,5,4,3,77,1.0
manju91@mahb,19128,19.52,2,1,0,210,0,0,0,3,5,1,1,22,0.0
brijesh51@okicici,4664,6.43,9,0,1,3,1,1,0,1,5,3,3,63,1.0
ajay47@oksbi,4987,2.02,8,1,0,151,1,1,1,2,2,3,2,96,1.0
neha@canara,450,0.26,8,0,0,288,0,1,0,5,5,3,2,14,0.0
9666580043@paytm,20571,14.93,1,1,0,278,0,0,1,3,4,0,1,34,0.5
9405720259@hdfc,832,1.14,2,0,1,91,0,0,0,2,2,4,0,11,0.0
nisha680@oksbi,4638,2.5,9,1,1,163,0,1,0,2,2,4,0,38,1.0
naveen26@apl,491,0.74,8,1,0,178,0,1,0,2,5,4,1,32,0.5
9361386120@paytm,4907,4.62,6,1,1,99,1,0,1,5,1,0,1,89,1.0
sunita10@icici,3678,2.46,9,1,0,129,0,0,0,1,5,1,2,0,0.0
krishna816@kotak,3736,1.57,5,0,0,352,0,1,0,5,1,2,3,25,0.0
geeta227@bob,2220,0.78,10,1,1,3,0,0,0,5,4,4,0,28,0.0
shakti72@upi,372,0.13,5,0,0,38,0,0,1,1,3,0,1,11,0.0
9577754781@pnb,127,0.08,6,1,1,187,0,1,0,4,2,0,2,40,0.5
santosh@oksbi,63943,26.0,2,0,1,321,0,0,0,1,1,4,0,16,0.5
nitin82@kotak,340,0.15,2,1,0,262,0,1,0,4,3,4,0,28,0.0
simran23@apl,343,0.17,2,1,1,119,0,0,0,3,3,1,0,15,0.0
9908272318@iob,499,0.31,10,1,1,188,0,0,1,1,5,2,3,35,0.5
pooja83@pnb,4422,1.55,4,0,0,61,0,0,0,4,3,0,3,7,0.0
rajan28@pnb,2822,1.32,9,0,0,93,0,0,0,4,5,4,0,5,0.0
hemant88@hdfc,2157,2.66,4,1,0,36,0,1,1,4,4,1,0,51,0.5
9599162473@icici,448,0.21,1,0,0,277,1,1,0,4,5,3,2,75,1.0
9448695946@bob,193,0.23,10,1,1,4,0,1,0,5,1,4,0,51,1.0
9213865890@pnb,1631,0.8,5,1,1,248,0,0,1,3,5,2,3,45,0.5
9490277038@canara,1155,0.63,7,1,0,308,0,0,0,1,1,2,1,27,0.0
vijay21@canara,400,0.15,4,0,0,185,0,0,0,1,2,0,2,2,0.0
rajesh823@waicici,3835,1.7,8,1,1,100,0,1,0,4,5,0,2,39,0.5
9565880434@icici,2612,2.37,8,1,1,174,0,1,1,4,5,0,3,61,1.0
seema857@kotak,256,0.2,4,1,1,182,0,0,0,5,3,1,1,20,0.0
radha16@okhdfc,61984,27.03,1,0,0,278,0,0,1,4,3,4,2,12,0.0
trilok@waicici,353,0.14,8,1,0,90,1,1,1,1,5,3,2,73,1.0
radha@iob,215,0.23,6,1,0,176,1,1,1,2,4,3,1,90,1.0
ganesh@pnb,69,0.03,8,0,1,77,0,1,0,1,2,3,3,35,0.5
9399824558@upi,2611,1.59,8,0,0,50,1,1,1,3,3,2,2,85,1.0
9496475987@okhdfc,435,0.29,3,1,0,75,0,1,1,3,4,4,3,42,0.5
suresh43@kotak,1282,4.18,5,0,0,339,0,0,0,1,2,1,3,20,0.0
santosh44@paytm,48486,31.65,8,0,1,146,0,1,0,2,2,4,1,41,1.0
rahul536@canara,413,0.33,9,0,0,328,0,1,1,3,3,3,1,28,0.0
9663416389@iob,97,0.11,5,1,0,221,0,1,1,5,2,0,2,58,0.5
deepa@paytm,140,0.35,3,1,1,94,1,1,0,3,1,3,3,95,1.0
krishna74@pnb,26643,33.39,6,0,0,112,0,0,0,4,3,3,2,0,0.0
9452088147@canara,93647,43.84,7,0,1,128,0,1,0,4,2,0,1,38,1.0
9792513271@ybl,300,0.81,7,0,1,121,1,0,0,3,1,1,2,66,1.0
pooja66@canara,4093,2.46,3,0,0,55,0,1,0,4,2,2,2,39,0.5
divya58@pnb,34450,14.25,5,1,0,240,0,0,1,5,5,1,0,21,0.5
yogesh@kotak,393,0.14,9,0,1,338,0,0,1,4,2,4,3,26,0.5
9170586509@iob,3501,13.84,1,0,0,51,0,0,0,5,4,3,2,0,0.0
9861957612@pnb,98,0.04,2,0,0,266,1,1,0,1,2,4,3,61,1.0
9457760049@sbi,3149,2.93,9,1,1,162,1,0,1,3,3,3,3,76,1.0
9334419693@icici,49,0.04,6,0,1,110,1,0,1,1,3,4,1,65,1.0
9661390604@apl,53664,34.2,10,1,1,354,1,0,1,1,5,2,0,71,1.0
ankit562@icici,114,0.07,3,0,1,114,0,0,1,1,4,3,0,14,0.0
rajan434@bob,125,0.05,8,1,1,102,0,0,0,4,5,1,1,12,0.0
9392405147@upi,23,0.04,10,1,1,180,0,0,1,4,5,1,3,23,0.5
neha35@iob,88207,37.42,5,0,1,268,0,0,0,5,4,4,1,3,0.0
9812387800@ubi,119,0.08,6,0,1,139,0,0,0,1,1,2,3,23,0.0
9432562168@ubi,257,0.14,6,1,1,10,0,1,1,3,3,2,1,44,0.5
pushpa932@kotak,1635,1.59,6,1,0,310,1,0,1,4,5,1,1,54,0.5
9994999393@ubi,227,0.24,1,0,1,75,0,0,0,3,4,3,2,2,0.0
9463331279@upi,243,0.13,8,0,1,310,0,0,1,3,2,3,3,40,0.5
krishna15@okicici,34596,92.75,10,1,1,22,0,0,1,4,3,3,0,31,1.0
umesh33@waicici,946,0.33,5,0,0,156,0,1,1,4,2,3,2,40,0.5
kamla@apl,47505,67.29,8,0,1,92,0,1,1,5,2,3,0,38,1.0
9123094077@upi,92,0.05,6,1,0,88,0,1,1,5,2,1,1,45,0.5
neha@kotak,4983,4.75,8,0,1,244,0,0,0,4,4,0,0,3,0.5
heena@okhdfc,73605,126.69,3,0,1,214,0,1,0,2,3,4,1,48,0.5
9794695489@oksbi,357,0.13,6,0,1,141,0,1,0,5,4,4,1,38,0.5
9660558303@canara,4308,4.11,4,0,1,313,0,1,1,3,2,0,0,61,1.0
hemant14@kotak,371,0.23,1,1,0,166,0,1,1,1,3,2,3,55,0.5
9512405682@mahb,4889,3.14,1,1,0,212,0,1,1,5,3,4,2,59,1.0
nitin@bob,29352,20.4,1,1,0,162,0,0,1,3,4,0,3,18,0.5
9307681040@icici,14390,6.22,4,0,1,79,1,0,1,3,4,4,2,73,1.0
sunita@iob,165,0.11,5,1,1,338,0,0,0,1,5,2,1,34,0.5
sneha@axisbank,25406,10.52,6,0,0,282,0,0,0,3,2,2,1,10,0.0
9792171747@upi,17985,7.54,10,1,0,361,0,0,1,5,4,4,2,14,0.5
ashok@apl,16,0.01,3,0,0,201,1,0,1,3,3,3,3,49,0.5
nikhil606@mahb,60421,34.1,5,0,1,37,0,0,1,5,4,3,3,14,0.5
9965701329@sbi,167,0.09,10,1,0,365,0,0,0,4,1,4,3,10,0.0
9986240580@sbi,97041,60.27,8,0,0,296,0,1,1,2,2,2,2,28,0.5
bharti864@kotak,4065,1.9,10,1,0,360,0,1,0,4,3,3,3,28,0.0
sarita435@okicici,3906,2.01,3,1,0,9,0,0,0,4,4,1,0,21,0.0
heena116@icici,475,1.34,8,1,0,296,0,0,1,2,5,2,3,28,0.0
hemant588@oksbi,27514,12.98,2,0,1,313,0,1,0,2,4,0,2,36,0.5
9047128144@kotak,1885,1.35,5,1,1,306,0,0,0,5,3,0,3,39,0.5
ravi@kotak,414,0.44,3,1,1,310,0,1,0,5,2,3,2,61,1.0
ramesh58@okicici,329,0.18,3,1,1,327,0,1,0,2,5,2,0,45,0.5
9454414967@ubi,73188,37.19,7,1,1,230,0,0,1,3,5,0,0,39,1.0
sneha@bob,269,0.2,1,0,1,345,0,0,1,1,1,3,0,26,0.0
tanvi789@pnb,4325,3.25,10,0,0,332,0,0,0,2,1,1,2,22,0.5
poonam88@axisbank,252,0.11,5,0,1,31,0,0,1,3,2,3,0,19,0.0
krishna10@upi,335,0.41,5,1,1,293,0,0,0,4,1,3,1,40,0.5
vandana83@bob,2980,1.05,7,1,1,2,0,1,0,4,1,4,2,40,1.0
vijay79@canara,377,0.14,2,0,0,200,0,1,0,3,4,0,3,19,0.0
9707903202@hdfc,4895,9.89,1,1,1,173,0,0,0,4,1,1,3,19,0.5
shruti@ybl,32932,11.06,2,1,0,33,1,1,0,1,4,4,1,74,1.0
vikas@sbi,225,0.08,3,0,0,141,0,0,1,4,2,2,1,25,0.0
9914560833@axisbank,2459,0.93,3,0,0,244,0,0,1,2,2,2,3,11,0.0
9054364597@hdfc,1722,2.02,4,0,1,338,0,0,1,3,1,1,0,39,0.5
9531363631@upi,3170,2.07,9,0,0,249,0,0,0,1,1,1,3,5,0.0
nikhil583@kotak,73500,71.5,8,1,0,313,0,1,0,2,4,2,1,32,1.0
9740633569@ubi,10667,4.84,4,0,1,176,0,1,1,3,5,1,1,36,1.0
rajan@oksbi,246,0.1,9,0,0,241,0,1,0,1,4,4,3,36,0.5
9570165804@okhdfc,35393,19.03,3,1,0,157,0,0,0,4,5,4,0,5,0.0
9183253817@mahb,188,0.21,9,1,0,29,0,0,1,3,1,0,3,38,0.5
9847951371@icici,4206,5.99,7,0,0,258,1,1,1,3,1,0,2,83,1.0
manju@canara,77298,31.98,2,1,0,142,0,1,0,2,4,1,1,26,0.5
9424375402@oksbi,4843,1.92,6,0,0,267,1,0,0,4,5,2,2,34,0.5
preeti14@ybl,60,0.05,3,1,1,147,0,0,0,2,2,1,1,27,0.0
9885474929@paytm,80018,95.37,9,1,0,84,0,1,1,3,1,0,3,38,1.0
9343018718@okicici,229,0.08,2,1,0,283,0,1,0,3,1,3,1,34,0.5
lalit760@canara,191,0.09,7,0,1,185,1,1,0,2,4,2,3,79,1.0
rahul420@okhdfc,54332,20.75,2,0,1,307,1,1,0,2,2,2,3,90,1.0
9244714627@ubi,2989,2.67,5,0,1,196,0,0,0,5,4,0,2,2,0.0
radha@mahb,2612,3.79,10,0,0,35,1,1,1,3,5,3,3,71,1.0
karan22@pnb,215,0.08,6,0,0,70,1,1,1,2,1,2,2,70,1.0
vandana@bob,1677,0.97,6,1,1,353,0,1,1,1,5,4,2,64,1.0
9524013223@canara,14110,5.33,2,0,0,40,0,0,0,2,1,3,2,14,0.0
pramod45@sbi,1383,3.13,2,0,0,58,0,0,0,1,4,3,0,7,0.0
lokesh11@bob,1815,0.8,1,0,0,180,0,0,0,1,2,2,2,14,0.0
rajan@paytm,73253,37.82,4,0,1,51,1,0,0,5,4,2,1,48,1.0
9463175207@axisbank,2823,1.4,1,0,0,286,0,1,1,1,3,3,0,31,0.5
mukesh743@mahb,2130,1.15,10,1,1,206,0,0,0,1,2,0,2,19,0.5
ankit851@sbi,1500,0.54,8,1,1,208,0,1,1,5,3,1,3,48,1.0
santosh@okhdfc,2904,2.28,2,0,1,320,0,1,0,1,5,3,3,37,0.5
9978897782@apl,453,0.25,8,0,1,227,1,1,1,1,1,1,2,93,1.0
9561655650@ubi,15,0.01,10,0,1,194,0,1,1,3,3,2,0,34,0.5
manju12@upi,3171,1.64,5,0,0,34,1,1,0,1,3,1,0,72,1.0
kavita@canara,258,0.13,8,0,1,51,0,1,1,1,2,2,3,42,1.0
9484685366@iob,1051,0.99,2,1,0,320,0,1,1,5,1,4,2,49,0.5
shruti784@okhdfc,479,0.6,8,1,0,110,0,0,0,3,5,4,3,7,0.0
poonam@bob,123,0.08,3,1,0,147,0,0,1,3,5,1,3,24,0.0
9162319818@mahb,29,0.06,9,0,1,143,0,0,0,2,1,3,0,21,0.0
chanda72@oksbi,112,0.08,6,1,1,161,0,0,0,5,4,1,3,26,0.0
bharti91@oksbi,785,0.27,3,0,1,143,0,1,1,3,4,2,2,39,0.5
9417765612@iob,108,0.04,5,0,0,202,0,1,1,3,1,1,2,41,0.5
yogesh@okhdfc,206,0.38,1,0,1,15,0,1,1,2,4,1,0,35,0.5
amit81@ubi,16920,6.67,10,1,1,352,0,1,0,3,3,1,0,41,1.0
9677133344@upi,61149,89.92,1,0,1,87,0,0,1,4,5,3,2,10,0.5
9710725636@okhdfc,2877,2.36,4,1,0,145,0,1,0,4,2,3,1,37,0.5
preeti@iob,3,0.0,8,1,0,121,0,0,0,3,5,4,0,21,0.0
poonam43@iob,13380,9.91,9,0,1,163,0,1,1,4,2,2,0,59,1.0
9617075877@upi,77,0.06,3,1,1,252,0,0,1,5,4,0,1,27,0.0
9150416591@ybl,299,0.58,3,0,0,146,0,0,1,2,5,2,1,7,0.0
9923045018@okicici,90787,59.34,8,0,0,338,1,0,1,4,3,4,0,67,1.0
satish65@canara,23673,8.22,2,0,1,205,0,1,0,1,2,1,3,30,0.5
sarita69@ubi,47,0.02,8,0,1,251,0,0,1,4,4,2,3,25,0.0
pooja23@okhdfc,431,1.09,8,0,1,41,0,0,1,3,2,1,2,33,0.5
9779452321@iob,92,0.06,2,1,0,300,0,1,1,5,1,0,3,48,0.5
priya@bob,3455,2.4,3,0,1,7,0,0,0,4,4,3,3,4,0.0
9770793349@okicici,76,0.09,9,0,0,224,0,1,0,2,1,2,3,41,0.5
9730806958@icici,4493,1.66,7,0,1,222,0,0,0,4,5,4,2,21,0.0
9597246657@pnb,2074,0.91,6,1,1,331,0,1,0,4,4,0,1,39,0.5
usha@pnb,483,1.23,3,0,1,103,0,0,1,5,4,0,3,12,0.0
